Time,Day,number of accidents
0,Friday,788
0,Monday,670
0,Saturday,1489
0,Sunday,1729
0,Thursday,674
0,Tuesday,549
0,Wednesday,589
1,Friday,484
1,Monday,422
1,Saturday,1213
1,Sunday,1558
1,Thursday,370
1,Tuesday,362
1,Wednesday,305
2,Friday,366
2,Monday,294
2,Saturday,1041
2,Sunday,1238
2,Thursday,307
2,Tuesday,254
2,Wednesday,278
3,Friday,308
3,Monday,251
3,Saturday,830
3,Sunday,1055
3,Thursday,247
3,Tuesday,219
3,Wednesday,225
4,Friday,301
4,Monday,240
4,Saturday,655
4,Sunday,726
4,Thursday,234
4,Tuesday,232
4,Wednesday,246
5,Friday,585
5,Monday,580
5,Saturday,616
5,Sunday,614
5,Thursday,563
5,Tuesday,560
5,Wednesday,477
6,Friday,1365
6,Monday,1387
6,Saturday,794
6,Sunday,674
6,Thursday,1477
6,Tuesday,1512
6,Wednesday,1457
7,Friday,3312
7,Monday,3491
7,Saturday,1204
7,Sunday,893
7,Thursday,3839
7,Tuesday,3892
7,Wednesday,3768
8,Friday,5612
8,Monday,5893
8,Saturday,1808
8,Sunday,1194
8,Thursday,6574
8,Tuesday,6737
8,Wednesday,6487
9,Friday,3641
9,Monday,3771
9,Saturday,2513
9,Sunday,1843
9,Thursday,3818
9,Tuesday,4161
9,Wednesday,3849
10,Friday,3241
10,Monday,3033
10,Saturday,2113
10,Sunday,2000
10,Thursday,3033
10,Tuesday,3048
10,Wednesday,3021
11,Friday,3716
11,Monday,3385
11,Saturday,2437
11,Sunday,2311
11,Thursday,3361
11,Tuesday,3416
11,Wednesday,3336
12,Friday,4318
12,Monday,3792
12,Saturday,2456
12,Sunday,2345
12,Thursday,3760
12,Tuesday,3735
12,Wednesday,3739
13,Friday,4552
13,Monday,3830
13,Saturday,2451
13,Sunday,2346
13,Thursday,3823
13,Tuesday,3749
13,Wednesday,3623
14,Friday,4701
14,Monday,3950
14,Saturday,2579
14,Sunday,2359
14,Thursday,3901
14,Tuesday,3858
14,Wednesday,3888
15,Friday,6524
15,Monday,5286
15,Saturday,2468
15,Sunday,2346
15,Thursday,5673
15,Tuesday,5509
15,Wednesday,5603
16,Friday,6542
16,Monday,5728
16,Saturday,2468
16,Sunday,3628
16,Thursday,5955
16,Tuesday,5998
16,Wednesday,5965
17,Friday,6935
17,Monday,6495
17,Saturday,2468
17,Sunday,3354
17,Thursday,6916
17,Tuesday,7097
17,Wednesday,7231
18,Friday,5608
18,Monday,4803
18,Saturday,2456
18,Sunday,2999
18,Thursday,5257
18,Tuesday,5329
18,Wednesday,5285
19,Friday,4020
19,Monday,3142
19,Saturday,2578
19,Sunday,2510
19,Thursday,3603
19,Tuesday,3501
19,Wednesday,3656
20,Friday,2947
20,Monday,2314
20,Saturday,2435
20,Sunday,2033
20,Thursday,2540
20,Tuesday,2421
20,Wednesday,2475
21,Friday,2265
21,Monday,1756
21,Saturday,1922
21,Sunday,1598
21,Thursday,1952
21,Tuesday,1749
21,Wednesday,1845
22,Friday,2091
22,Monday,1346
22,Saturday,1971
22,Sunday,1324
22,Thursday,1631
22,Tuesday,1468
22,Wednesday,1491
23,Friday,1830
23,Monday,865
23,Saturday,1849
23,Sunday,978
23,Thursday,1134
23,Tuesday,957
23,Wednesday,993
